ticker,date,pattern
ABNB,2023-07-06,Hammer
ABNB,2023-08-07,Hammer
ABNB,2023-08-08,Hammer
ABNB,2023-08-11,Hammer
ABNB,2023-08-14,Hammer
ABNB,2023-09-25,Bullish Engulfing
ABNB,2023-10-05,Hammer
ABNB,2023-10-23,Bullish Engulfing
ABNB,2023-12-01,Bullish Engulfing
ABNB,2024-02-06,Hammer
ABNB,2024-03-14,Hammer
ABNB,2024-05-02,Hammer
ABNB,2024-05-20,Hammer
ABNB,2024-05-31,Hammer
ABNB,2024-06-14,Hammer
ABNB,2024-07-01,Hammer
ABNB,2024-07-02,Bullish Engulfing
ABNB,2024-07-15,Bullish Engulfing
ABNB,2024-07-25,Hammer
ABNB,2024-08-15,Hammer
ABNB,2024-08-21,Hammer
ABNB,2024-09-11,Hammer
ABNB,2024-09-16,Hammer
ABNB,2024-10-18,Hammer
ABNB,2024-10-21,Bullish Engulfing
ABNB,2024-10-29,Bullish Engulfing
ABNB,2024-12-24,Hammer
ABNB,2025-01-23,Bullish Engulfing
ABNB,2025-02-05,Hammer
ABNB,2025-02-12,Bullish Engulfing
ABNB,2025-03-05,Hammer
ABNB,2025-03-07,Hammer
ABNB,2025-03-31,Hammer
ABNB,2025-04-30,Hammer
ABNB,2025-06-23,Hammer
ABNB,2025-06-27,Hammer
ABNB,2025-07-01,Bullish Engulfing
ABNB,2025-07-14,Bullish Engulfing
ABNB,2025-07-16,Hammer
ABNB,2025-07-22,Hammer
ABNB,2025-08-28,Hammer
ABNB,2025-09-04,Hammer
SFM,2023-07-05,Bullish Engulfing
SFM,2023-07-24,Hammer
SFM,2023-08-22,Hammer
SFM,2023-08-31,Bullish Engulfing
SFM,2023-09-08,Bullish Engulfing
SFM,2023-09-11,Hammer
SFM,2023-09-15,Hammer
SFM,2023-10-23,Bullish Engulfing
SFM,2023-10-31,Hammer
SFM,2023-11-10,Hammer
SFM,2023-11-20,Bullish Engulfing
SFM,2023-12-06,Bullish Engulfing
SFM,2023-12-13,Bullish Engulfing
SFM,2024-01-11,Hammer
SFM,2024-01-19,Hammer
SFM,2024-02-22,Bullish Engulfing
SFM,2024-03-08,Hammer
SFM,2024-03-15,Bullish Engulfing
SFM,2024-03-22,Bullish Engulfing
SFM,2024-03-27,Hammer
SFM,2024-04-10,Bullish Engulfing
SFM,2024-04-11,Hammer
SFM,2024-06-10,Hammer
SFM,2024-08-09,Hammer
SFM,2024-08-29,Bullish Engulfing
SFM,2024-10-07,Hammer
SFM,2024-10-10,Hammer
SFM,2024-10-29,Hammer
SFM,2024-11-19,Bullish Engulfing
SFM,2024-11-20,Hammer
SFM,2024-12-04,Bullish Engulfing
SFM,2024-12-24,Bullish Engulfing
SFM,2025-01-08,Hammer
SFM,2025-01-15,Hammer
SFM,2025-01-21,Bullish Engulfing
SFM,2025-01-24,Hammer
SFM,2025-01-31,Bullish Engulfing
SFM,2025-02-12,Bullish Engulfing
SFM,2025-02-25,Hammer
