ticker,date,pattern
SFM,2023-07-05,Bullish Engulfing
SFM,2023-07-24,Hammer
SFM,2023-07-31,Piercing Pattern
SFM,2023-08-22,Hammer
SFM,2023-08-31,Bullish Engulfing
SFM,2023-09-08,Bullish Engulfing
SFM,2023-09-11,Hammer
SFM,2023-09-15,Hammer
SFM,2023-10-06,Dragonfly Doji
SFM,2023-10-09,Piercing Pattern
SFM,2023-10-23,Bullish Engulfing
SFM,2023-10-31,Hammer
SFM,2023-11-10,Hammer
SFM,2023-11-20,Bullish Engulfing
SFM,2023-12-06,Bullish Engulfing
SFM,2023-12-11,Morning Star
SFM,2023-12-11,Dragonfly Doji
SFM,2023-12-13,Bullish Engulfing
SFM,2023-12-15,Morning Star
SFM,2024-01-04,Morning Star
SFM,2024-01-11,Hammer
SFM,2024-01-19,Hammer
SFM,2024-02-22,Bullish Engulfing
SFM,2024-03-08,Hammer
SFM,2024-03-15,Bullish Engulfing
SFM,2024-03-22,Bullish Engulfing
SFM,2024-03-26,Morning Star
SFM,2024-03-27,Hammer
SFM,2024-04-10,Bullish Engulfing
SFM,2024-04-11,Hammer
SFM,2024-04-18,Morning Star
SFM,2024-05-02,Morning Star
SFM,2024-05-22,Piercing Pattern
SFM,2024-06-10,Hammer
SFM,2024-07-03,Dragonfly Doji
SFM,2024-08-09,Hammer
SFM,2024-08-29,Bullish Engulfing
SFM,2024-09-19,Dragonfly Doji
SFM,2024-10-07,Hammer
SFM,2024-10-10,Hammer
SFM,2024-10-29,Hammer
SFM,2024-11-19,Bullish Engulfing
SFM,2024-11-20,Hammer
SFM,2024-12-04,Bullish Engulfing
SFM,2024-12-24,Bullish Engulfing
SFM,2025-01-08,Hammer
SFM,2025-01-08,Morning Star
SFM,2025-01-15,Hammer
SFM,2025-01-16,Piercing Pattern
SFM,2025-01-21,Bullish Engulfing
SFM,2025-01-24,Hammer
SFM,2025-01-31,Bullish Engulfing
SFM,2025-02-06,Dragonfly Doji
SFM,2025-02-12,Bullish Engulfing
SFM,2025-02-19,Piercing Pattern
SFM,2025-02-25,Hammer
SFM,2025-02-28,Piercing Pattern
SFM,2025-03-11,Bullish Engulfing
SFM,2025-03-14,Morning Star
SFM,2025-03-19,Bullish Engulfing
SFM,2025-03-28,Hammer
SFM,2025-03-31,Bullish Engulfing
SFM,2025-04-09,Piercing Pattern
SFM,2025-04-24,Piercing Pattern
SFM,2025-04-25,Hammer
SFM,2025-05-05,Hammer
SFM,2025-05-15,Bullish Engulfing
SFM,2025-05-23,Piercing Pattern
SFM,2025-05-29,Hammer
SFM,2025-06-06,Hammer
SFM,2025-07-11,Morning Star
SFM,2025-07-24,Morning Star
SFM,2025-08-13,Hammer
SFM,2025-08-15,Morning Star
SFM,2025-09-03,Hammer
SFM,2025-09-23,Hammer
