taxonomy_version,ticker,layer,subindustry,report_group_status,is_primary,role_weight,notes
DC_TAXONOMY_FULL_V1,FCX,Upstream materials,Copper,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,SCCO,Upstream materials,Copper,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,TECK,Upstream materials,Copper,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,BHP,Upstream materials,Copper,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,RIO,Upstream materials,Copper,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,PAAS,Upstream materials,Silver,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,HL,Upstream materials,Silver,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,CDE,Upstream materials,Silver,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,AG,Upstream materials,Silver,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,WPM,Upstream materials,Silver,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,GLW,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,COHR,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,FN,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,APD,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,ATI,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,AXTI,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,IQE,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,AA,Upstream materials,Aluminum and steel,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,MT,Upstream materials,Aluminum and steel,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,NUE,Upstream materials,Aluminum and steel,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,STLD,Upstream materials,Aluminum and steel,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,PKX,Upstream materials,Aluminum and steel,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,CENX,Upstream materials,Aluminum and steel,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,MP,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,UUUU,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,NB,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,IPX,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,USAR,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,ATI,Upstream materials,Specialty metals,WATCH_ONLY,0,1.0,
DC_TAXONOMY_FULL_V1,HWM,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,CRS,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,ALOY,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,ASPI,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,ILU.AX,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V1,NVDA,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,AMD,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,AVGO,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,MRVL,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,QCOM,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ARM,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,INTC,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,TSM,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,AMD,Compute silicon,CPUs,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,INTC,Compute silicon,CPUs,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,QCOM,Compute silicon,CPUs,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,ARM,Compute silicon,CPUs,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,NVDA,Compute silicon,CPUs,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,MU,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,RMBS,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,WDC,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,STX,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,SNDK,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,SIMO,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,MPWR,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ADI,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,TXN,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,NXPI,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,MCHP,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,LSCC,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,STM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ON,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,POWI,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,VSH,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,DIOD,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ALGM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,SITM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,TSEM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,SYNA,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,SWKS,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,QRVO,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,SLAB,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,CRUS,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,AMBA,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,TSM,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,GFS,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,INTC,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,ASX,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,AMKR,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,UMC,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ASML,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
