taxonomy_version,ticker,layer,subindustry,report_group_status,is_primary,role_weight,notes
DC_TAXONOMY_FULL_V2,FCX,Upstream materials,Copper,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,SCCO,Upstream materials,Copper,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,TECK,Upstream materials,Copper,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,BHP,Upstream materials,Copper,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,RIO,Upstream materials,Copper,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,HBM,Upstream materials,Copper,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,ERO,Upstream materials,Copper,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,PAAS,Upstream materials,Silver,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,HL,Upstream materials,Silver,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,CDE,Upstream materials,Silver,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,AG,Upstream materials,Silver,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,WPM,Upstream materials,Silver,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,GLW,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,COHR,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,FN,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,APD,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,ATI,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,AXTI,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,LIN,Upstream materials,Glass / optical materials / specialty glass,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,AA,Upstream materials,Aluminum and steel,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,MT,Upstream materials,Aluminum and steel,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,NUE,Upstream materials,Aluminum and steel,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,STLD,Upstream materials,Aluminum and steel,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,PKX,Upstream materials,Aluminum and steel,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,CENX,Upstream materials,Aluminum and steel,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,MP,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,UUUU,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,NB,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,IPX,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,USAR,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,ATI,Upstream materials,Specialty metals,WATCH_ONLY,0,1.0,
DC_TAXONOMY_FULL_V2,HWM,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,CRS,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,ALOY,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,ASPI,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,CCJ,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,LEU,Upstream materials,Specialty metals,WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,NVDA,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AMD,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AVGO,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,MRVL,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,QCOM,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ARM,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,INTC,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,TSM,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,CBRS,Compute silicon,GPU / AI accelerators / custom silicon,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AMD,Compute silicon,CPUs,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,INTC,Compute silicon,CPUs,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,QCOM,Compute silicon,CPUs,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,ARM,Compute silicon,CPUs,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,NVDA,Compute silicon,CPUs,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,MU,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,RMBS,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,WDC,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,STX,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,SNDK,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,SIMO,Compute silicon,Memory / HBM / DRAM / NAND / SSD,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,MPWR,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ADI,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,TXN,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,NXPI,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,MCHP,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,LSCC,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,STM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ON,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,POWI,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,VSH,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,DIOD,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ALGM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,SITM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,TSEM,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,SYNA,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,SWKS,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,QRVO,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,SLAB,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,CRUS,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AMBA,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AOSL,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,NVTS,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,VICR,Compute silicon,"Analog, power IC, embedded, specialty semis",EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,TSM,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,GFS,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,INTC,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V2,ASX,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AMKR,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,UMC,Semiconductor manufacturing,Foundry & packaging / OSAT,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ASML,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AMAT,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,LRCX,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,KLAC,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,MKSI,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ENTG,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,NVMI,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,VECO,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ONTO,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,CAMT,Semiconductor manufacturing,Semiconductor equipment / semicap,EXTENDED,1,1.0,
