osake,pvm,kynttila,t_1_alin,t_1_ylin,t_1_bodi,t_1_bodi_colour,t0_alin,t0_ylin,t0_bodi,t0_bodi_colour,t1_alin,t1_ylin,t1_bodi,t1_bodi_colour,t_2,t_5,t_10,t_15,t_20,t2,t5,t10,t20,t_2_hajonta,t_5_hajonta,t_10_hajonta,t_15_hajonta,t_20_hajonta,t_2_volyymi,t_5_volyymi,t_10_volyymi,t_15_volyymi,t_20_volyymi,t0_volyymi,t2_volyymi,t5_volyymi,t10_volyymi,t20_volyymi,t2_5p_liukuva,t2_10p_liukuva,t2_20p_liukuva,t5_5p_liukuva,t5_10p_liukuva,t5_20p_liukuva,t10_5p_liukuva,t10_10p_liukuva,t10_20p_liukuva,t15_5p_liukuva,t15_10p_liukuva,t15_20p_liukuva,t20_5p_liukuva,t20_10p_liukuva,t20_20p_liukuva,t50_50p_liukuva,t200_200p_liukuva,SPX_0,SPX_2,SPX_5,SPX_10,SPX_15,SPX_20,SPX2,SPX5,SPX10,SPX15,SPX20,NDX_0,NDX_2,NDX_5,NDX_10,NDX_15,NDX_20,NDX2,NDX5,NDX10,NDX15,NDX20
TSL,2023-08-03,2,98.926475,103.113264,16.666585,0,100.0,103.429952,92.331801,1,100.107359,105.582402,70.588136,0,103.972104,101.234577,105.206666,113.059589,112.775104,99.248532,96.081594,83.145472,101.637148,1.662724,2.579724,2.313325,6.175839,5.416863,0.682988,0.846799,1.682713,0.628183,0.918462,0.835687,0.628183,0.449479,0.80235,1.148418,101.716971,103.532787,106.86083,101.821027,107.154014,,112.487001,109.850684,,107.214367,,,,,,,0,100.0,102.032976,101.156385,101.099758,100.5462,98.351365,100.733466,99.62747,97.432189,97.564842,100.493143,100.0,102.92907,101.27178,101.279377,101.9728,98.81296,100.897992,99.070902,96.366182,97.025161,101.508446
TSL,2023-08-07,1,105.546118,111.318616,70.588136,0,100.0,105.546121,9.183693,0,101.245046,103.904928,48.935946,1,108.77192,112.846632,114.204869,125.919637,115.053764,99.717034,98.245618,93.77476,106.281837,2.014853,2.826539,3.034766,6.534499,5.964203,0.842167,0.785141,1.672041,1.026704,0.600292,0.965088,0.495575,0.445784,1.057279,0.871963,105.11628,105.478638,109.833153,106.208762,109.318551,111.607085,112.428341,113.30611,,114.18388,113.895619,,113.607358,,,,0,100.0,100.239142,102.17784,101.413674,100.7045,98.182645,99.478086,99.968167,97.965334,98.712137,100.126475,100.0,100.620097,103.26419,101.239273,102.97767,98.602258,98.969718,99.650499,97.888255,98.646956,101.633932
TSL,2023-08-11,1,102.544789,106.950332,6.578845,1,100.0,102.376673,24.389881,1,97.617539,101.026033,62.925383,1,102.139014,108.283585,115.29767,111.935544,124.050782,97.211765,88.052867,99.762337,117.674338,0.881518,2.487523,4.407782,4.377652,7.456579,0.641932,0.886434,0.763401,1.853408,0.816023,0.29276,0.465699,1.011691,1.046526,0.77773,104.671208,107.22223,112.611403,108.809532,110.20409,114.527502,111.598648,115.8957,,120.192752,118.850914,,117.509075,,,,0,100.0,100.53398,100.766201,103.11095,102.078314,101.382543,99.862283,98.32875,99.138835,101.615445,100.978402,100.0,100.855101,102.011865,105.190843,103.018632,103.953137,100.427286,98.137864,99.787361,103.453999,103.260391
TSL,2023-08-23,3,100.305432,106.230901,64.948413,0,100.0,105.009161,86.585286,1,99.5113,105.253502,78.82982,0,101.221743,98.411728,107.635914,114.599876,120.281001,105.131329,115.027481,111.789852,113.622479,1.533901,4.583891,5.269533,6.803903,7.8875,1.247598,0.781591,0.608106,0.810722,1.358226,1.148327,0.832743,1.255487,0.749599,0.920223,93.82904,98.922716,105.875293,100.444965,104.274004,109.341335,108.103043,110.737705,116.303571,113.372367,114.408666,119.42418,115.444965,121.869437,,,0,100.0,100.075745,100.179466,101.621085,102.660111,103.873817,100.210853,102.693774,101.244193,102.471549,98.488779,100.0,99.927148,99.524268,101.031136,102.830961,103.690763,99.961532,103.444368,102.080199,103.521035,98.305145
TSL,2023-08-29,2,98.717959,102.564112,50.000289,0,100.0,109.935897,96.774287,1,106.468538,111.480185,26.744173,1,100.291377,97.669003,97.727279,106.701635,112.8788,110.343822,106.934738,116.958045,100.174835,5.363898,4.827267,5.836178,5.653333,6.743391,1.000678,1.033392,0.674146,0.663386,0.979597,1.878895,1.259157,0.865446,0.805091,0.91793,89.171792,87.491517,93.037911,84.962885,88.764581,95.074231,92.566277,95.837751,100.673383,99.109225,101.383882,106.103658,103.658539,105.509014,108.900583,,0,100.0,99.413987,99.004207,100.139443,101.527631,103.273021,101.714473,100.762686,100.806912,99.33479,96.45348,100.0,99.383354,99.164723,100.020688,101.586412,104.545997,103.103057,102.240843,102.088459,99.570189,96.97776
TSL,2023-09-06,1,99.606081,106.263361,90.448252,1,100.0,104.631401,28.067923,0,99.088351,103.432749,80.310809,1,99.60608,106.133932,94.316264,94.372539,103.038827,101.238041,112.943159,108.216093,106.97805,2.97495,2.56387,5.259809,6.995223,6.213546,1.214768,1.132152,0.996962,0.65038,0.64,0.520253,0.724895,0.776709,1.089367,0.448861,99.765666,95.7079,94.415257,94.63651,90.98038,94.74087,87.32425,91.231607,97.71662,95.138963,98.50136,103.471388,101.863758,104.201634,109.052587,,0,100.0,101.652045,101.243703,98.76575,99.898252,101.283096,100.340141,100.564113,99.095537,96.221167,95.97896,100.0,101.317114,100.569472,97.511227,98.352919,99.892536,99.939501,100.386212,97.909932,95.36073,96.643245
TSL,2023-09-28,2,97.89431,103.179072,41.065407,0,100.0,104.287647,72.503164,1,104.053021,107.513635,5.084861,0,102.821284,109.097313,120.065685,107.337672,110.446359,106.504784,110.739625,110.211748,82.11625,1.510986,2.65905,6.381809,6.102265,5.505109,0.989364,0.92807,0.953514,0.755991,1.266194,0.956138,0.560479,0.377471,0.459576,0.850949,102.473186,107.679282,106.84783,109.824963,110.553363,106.277248,111.281762,107.625638,101.714853,103.969514,102.001133,98.112369,100.032752,95.804068,98.184362,,0,100.0,100.214566,101.538796,105.644906,104.379541,105.874013,100.563042,99.854845,101.998649,100.319393,97.018326,100.0,100.24576,101.268561,106.641685,105.157415,106.562706,102.256351,101.468279,104.644533,101.881163,97.23918
TSL,2023-10-02,2,102.07135,105.466058,5.084861,0,100.0,105.811279,50.29715,1,101.041434,103.452244,39.379814,0,101.898737,102.359048,112.082856,116.80092,101.841207,109.378602,108.57308,105.350984,76.294601,1.310175,1.996391,4.593363,6.113418,5.626871,1.047958,1.039086,0.911012,0.829582,1.065438,0.671993,0.396168,0.435083,0.430076,0.666722,96.717699,101.916509,103.443382,102.224913,106.223148,104.123523,110.221383,106.724303,101.722101,103.227223,102.023897,96.448944,100.82057,96.719899,95.413588,,0,100.0,100.926955,101.812821,104.5378,105.334244,105.998767,100.083095,101.771044,102.662308,98.986671,97.807851,100.0,100.008503,100.458326,103.563241,105.171918,105.36911,100.508318,102.350987,103.205185,99.342449,97.510395
TSL,2023-11-07,3,99.669558,105.73875,46.666645,0,100.0,103.917994,60.068908,1,101.018265,104.187732,21.276462,0,102.184896,91.375004,100.687832,123.845162,129.408581,96.331509,111.875374,114.235614,112.752022,0.851484,5.106128,4.971416,8.687302,12.621539,1.559451,0.553422,1.104241,0.738763,0.423307,0.812495,0.415404,0.849505,0.547061,0.360563,92.430493,93.212443,104.498985,90.503282,95.125327,108.61644,99.747373,110.206387,114.906237,120.665401,122.107552,119.509077,123.549702,119.606087,121.883905,,0,100.0,100.067265,96.289434,97.526525,100.408458,100.064978,99.814941,103.221052,104.196615,104.481092,104.452616,100.0,99.644834,95.093288,97.311154,99.793446,99.856203,100.228272,104.349942,105.14944,105.505662,104.188789
TSL,2023-11-08,1,98.991999,102.8705,60.068908,1,100.0,103.137519,21.276462,0,93.724973,101.134851,77.927931,0,100.934582,93.184245,97.309744,115.35381,127.703604,97.877172,114.28572,108.8518,113.417889,0.886756,3.497862,5.216598,6.353065,11.797745,1.570916,1.130016,0.952691,0.826361,0.465625,0.29844,0.477601,0.935306,0.475476,0.331761,94.908141,93.631918,103.338759,89.751136,93.017585,107.034849,96.284034,107.304882,114.122471,118.325731,121.052113,118.943971,123.778496,120.94006,121.649182,,0,100.0,100.142673,97.203977,96.032127,98.964171,100.394298,101.272558,103.282752,104.515394,104.771823,105.179874,100.0,99.566712,96.347322,94.486257,97.95268,100.132977,102.025114,103.917643,105.127889,104.776269,105.266518
