path,file_name,backup_group,size_bytes,timestamp,modification_timestamp,apparent_creation_timestamp,backup_family,database_type,associated_operation,subsystem,object_type,classification,retention_reason,suggested_retention_until,notes
backups/dashboard_prod_write_20260529T134917Z/analysis.db.before_db20n,analysis.db.before_db20n,dashboard_prod_write_20260529T134917Z,3205177344,2026-05-29T13:43:36.045856Z,2026-05-29T13:43:36.045856Z,20260529T134917Z,Dashboard production write,analysis/taxonomy,phase/migration safety backup,non-Fundamentals or mixed; owner unconfirmed,full SQLite database copy,AMBIGUOUS,Outside the Fundamentals backup families; ownership and restore value were not established in this focused audit.,INDEFINITE_PENDING_OWNER_REVIEW,Do not auto-delete; assign an owner and audit separately.
backups/dashboard_prod_write_20260529T134917Z/ecosystem_dashboard.db.before_db20n,ecosystem_dashboard.db.before_db20n,dashboard_prod_write_20260529T134917Z,1241088,2026-05-29T05:11:59.401451Z,2026-05-29T05:11:59.401451Z,20260529T134917Z,Dashboard production write,ecosystem_dashboard,phase/migration safety backup,non-Fundamentals or mixed; owner unconfirmed,full SQLite database copy,AMBIGUOUS,Outside the Fundamentals backup families; ownership and restore value were not established in this focused audit.,INDEFINITE_PENDING_OWNER_REVIEW,Do not auto-delete; assign an owner and audit separately.
backups/fundamentals_admin_production/20260918T182639Z_check_update_taxonomy_293c901ce1dd_production_12a72eb2/analysis.db,analysis.db,fundamentals_admin_production/20260918T182639Z_check_update_taxonomy_293c901ce1dd_production_12a72eb2,1582403584,2026-09-18T18:27:28.153791Z,2026-09-18T18:27:28.153791Z,20260918T182639Z,Fundamentals Administration production rollback,fundamentals_analysis,taxonomy update/transition,active Fundamentals V4 Administration,full SQLite database copy,MILESTONE_BACKUP,Recent named V2-only production milestone retained independently of the rotating rollback set.,MANUAL_REVIEW; no automatic expiry,Analysis-only milestone from active architecture.
backups/fundamentals_admin_production/20260919T113359Z_add_tickers_8bbcda32e218_production_38f7bfac/analysis.db,analysis.db,fundamentals_admin_production/20260919T113359Z_add_tickers_8bbcda32e218_production_38f7bfac,896876544,2026-09-19T11:36:22.310666Z,2026-09-19T11:36:22.310666Z,20260919T113359Z,Fundamentals Administration production rollback,fundamentals_analysis,Add Tickers production,active Fundamentals V4 Administration,full SQLite database copy,CURRENT_ROLLBACK,Newest complete provider/canonical/analysis Administration rollback set.,2026-10-19 minimum; then only after a newer verified set exists,Representative SQLite quick_check passed for all three roles.
backups/fundamentals_admin_production/20260919T113359Z_add_tickers_8bbcda32e218_production_38f7bfac/canonical.db,canonical.db,fundamentals_admin_production/20260919T113359Z_add_tickers_8bbcda32e218_production_38f7bfac,649891840,2026-09-19T11:36:09.890850Z,2026-09-19T11:36:09.890850Z,20260919T113359Z,Fundamentals Administration production rollback,fundamentals_v4 canonical,Add Tickers production,active Fundamentals V4 Administration,full SQLite database copy,CURRENT_ROLLBACK,Newest complete provider/canonical/analysis Administration rollback set.,2026-10-19 minimum; then only after a newer verified set exists,Representative SQLite quick_check passed for all three roles.
backups/fundamentals_admin_production/20260919T113359Z_add_tickers_8bbcda32e218_production_38f7bfac/provider.db,provider.db,fundamentals_admin_production/20260919T113359Z_add_tickers_8bbcda32e218_production_38f7bfac,945385472,2026-09-19T11:36:01.331214Z,2026-09-19T11:36:01.331214Z,20260919T113359Z,Fundamentals Administration production rollback,fundamentals_provider,Add Tickers production,active Fundamentals V4 Administration,full SQLite database copy,CURRENT_ROLLBACK,Newest complete provider/canonical/analysis Administration rollback set.,2026-10-19 minimum; then only after a newer verified set exists,Representative SQLite quick_check passed for all three roles.
backups/fundamentals_admin_production/20260919T_phase13g25f_final_v2_publication/analysis.db,analysis.db,fundamentals_admin_production/20260919T_phase13g25f_final_v2_publication,892256256,2026-09-19T06:20:09.109751Z,2026-09-19T06:20:09.109751Z,,Fundamentals Administration production rollback,fundamentals_analysis,phase/migration safety backup,active Fundamentals V4 Administration,full SQLite database copy,MILESTONE_BACKUP,Recent named V2-only production milestone retained independently of the rotating rollback set.,MANUAL_REVIEW; no automatic expiry,Analysis-only milestone from active architecture.
backups/fundamentals_v4_phase13c_20260911T164256Z/analysis.before_phase13c.db,analysis.before_phase13c.db,fundamentals_v4_phase13c_20260911T164256Z,10674839552,2026-09-11T16:43:18.159446Z,2026-09-11T16:43:18.159446Z,20260911T164256Z,Phase 13C multi-database transition,analysis/taxonomy,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/fundamentals_v4_phase13c_20260911T164256Z/analysis.before_phase13c.db-shm,analysis.before_phase13c.db-shm,fundamentals_v4_phase13c_20260911T164256Z,32768,2026-09-11T16:44:24.400016Z,2026-09-11T16:44:24.400016Z,20260911T164256Z,Phase 13C multi-database transition,SQLite SHM sidecar,phase/migration safety backup,historical Fundamentals phase,SQLite sidecar,EVIDENCE_OR_METADATA,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Manifest/sidecar follows its retained backup set.
backups/fundamentals_v4_phase13c_20260911T164256Z/analysis.before_phase13c.db-wal,analysis.before_phase13c.db-wal,fundamentals_v4_phase13c_20260911T164256Z,0,2026-09-11T16:43:22.447110Z,2026-09-11T16:43:22.447110Z,20260911T164256Z,Phase 13C multi-database transition,SQLite WAL sidecar,phase/migration safety backup,historical Fundamentals phase,SQLite sidecar,EVIDENCE_OR_METADATA,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Manifest/sidecar follows its retained backup set.
backups/fundamentals_v4_phase13c_20260911T164256Z/fundamentals_analysis.before_phase13c.db,fundamentals_analysis.before_phase13c.db,fundamentals_v4_phase13c_20260911T164256Z,1534025728,2026-09-11T16:43:01.781119Z,2026-09-11T16:43:01.781119Z,20260911T164256Z,Phase 13C multi-database transition,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/fundamentals_v4_phase13c_20260911T164256Z/fundamentals_provider.before_phase13c.db,fundamentals_provider.before_phase13c.db,fundamentals_v4_phase13c_20260911T164256Z,922521600,2026-09-11T16:42:57.198868Z,2026-09-11T16:42:57.198868Z,20260911T164256Z,Phase 13C multi-database transition,fundamentals_provider,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
backups/fundamentals_v4_phase13c_20260911T164256Z/fundamentals_v4.before_phase13c.db,fundamentals_v4.before_phase13c.db,fundamentals_v4_phase13c_20260911T164256Z,636272640,2026-09-11T16:42:59.269507Z,2026-09-11T16:42:59.269507Z,20260911T164256Z,Phase 13C multi-database transition,fundamentals_v4 canonical,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,MILESTONE_BACKUP,Selected last durable or historically significant production milestone for this backup family.,MANUAL_REVIEW; no automatic expiry,Named production milestone; not part of routine rotation.
