path,file_name,backup_group,size_bytes,size_gb,timestamp,modification_timestamp,apparent_creation_timestamp,backup_family,database_type,associated_operation,subsystem,object_type,classification,reason,newer_replacement,recommended_action,confidence
backups/analysis.phase10c1.20260908T055459Z.db,analysis.phase10c1.20260908T055459Z.db,.,10406772736,10.406773,2026-09-08T05:55:32.254587Z,2026-09-08T05:55:32.254587Z,20260908T055459Z,Phase 10C1 taxonomy analysis snapshot,analysis/taxonomy,taxonomy update/transition,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/analysis.phase10c1.20260908T055459Z.db-shm,analysis.phase10c1.20260908T055459Z.db-shm,.,32768,0.000033,2026-09-08T05:55:39.016354Z,2026-09-08T05:55:39.016354Z,20260908T055459Z,Phase 10C1 taxonomy analysis snapshot,SQLite SHM sidecar,taxonomy update/transition,historical Fundamentals phase,SQLite sidecar,EVIDENCE_OR_METADATA,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,MEDIUM
backups/analysis.phase10c1.20260908T055459Z.db-wal,analysis.phase10c1.20260908T055459Z.db-wal,.,0,0.000000,2026-09-08T05:55:39.013510Z,2026-09-08T05:55:39.013510Z,20260908T055459Z,Phase 10C1 taxonomy analysis snapshot,SQLite WAL sidecar,taxonomy update/transition,historical Fundamentals phase,SQLite sidecar,EVIDENCE_OR_METADATA,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,MEDIUM
backups/fundamentals_admin_production/20260919T080318Z_add_tickers_4f6c0b45159a_production_e87a68ab/analysis.db,analysis.db,fundamentals_admin_production/20260919T080318Z_add_tickers_4f6c0b45159a_production_e87a68ab,892231680,0.892232,2026-09-19T08:05:29.168300Z,2026-09-19T08:05:29.168300Z,20260919T080318Z,Fundamentals Administration production rollback,fundamentals_analysis,Add Tickers production,active Fundamentals V4 Administration,full SQLite database copy,REDUNDANT_ROLLBACK,Superseded same-day Administration rollback; a newer complete verified set is retained.,backups/fundamentals_admin_production/20260919T113359Z_add_tickers_8bbcda32e218_production_38f7bfac,DELETE_CANDIDATE,MEDIUM
backups/fundamentals_admin_production/20260919T080318Z_add_tickers_4f6c0b45159a_production_e87a68ab/canonical.db,canonical.db,fundamentals_admin_production/20260919T080318Z_add_tickers_4f6c0b45159a_production_e87a68ab,646553600,0.646554,2026-09-19T08:05:16.588259Z,2026-09-19T08:05:16.588259Z,20260919T080318Z,Fundamentals Administration production rollback,fundamentals_v4 canonical,Add Tickers production,active Fundamentals V4 Administration,full SQLite database copy,REDUNDANT_ROLLBACK,Superseded same-day Administration rollback; a newer complete verified set is retained.,backups/fundamentals_admin_production/20260919T113359Z_add_tickers_8bbcda32e218_production_38f7bfac,DELETE_CANDIDATE,MEDIUM
backups/fundamentals_admin_production/20260919T080318Z_add_tickers_4f6c0b45159a_production_e87a68ab/provider.db,provider.db,fundamentals_admin_production/20260919T080318Z_add_tickers_4f6c0b45159a_production_e87a68ab,933552128,0.933552,2026-09-19T08:05:08.512784Z,2026-09-19T08:05:08.512784Z,20260919T080318Z,Fundamentals Administration production rollback,fundamentals_provider,Add Tickers production,active Fundamentals V4 Administration,full SQLite database copy,REDUNDANT_ROLLBACK,Superseded same-day Administration rollback; a newer complete verified set is retained.,backups/fundamentals_admin_production/20260919T113359Z_add_tickers_8bbcda32e218_production_38f7bfac,DELETE_CANDIDATE,MEDIUM
backups/fundamentals_admin_production/20260919T092835Z_add_tickers_ee8409c8d2c8_production_502177be/analysis.db,analysis.db,fundamentals_admin_production/20260919T092835Z_add_tickers_ee8409c8d2c8_production_502177be,895426560,0.895427,2026-09-19T09:30:45.421415Z,2026-09-19T09:30:45.421415Z,20260919T092835Z,Fundamentals Administration production rollback,fundamentals_analysis,Add Tickers production,active Fundamentals V4 Administration,full SQLite database copy,REDUNDANT_ROLLBACK,Superseded same-day Administration rollback; a newer complete verified set is retained.,backups/fundamentals_admin_production/20260919T113359Z_add_tickers_8bbcda32e218_production_38f7bfac,DELETE_CANDIDATE,MEDIUM
backups/fundamentals_admin_production/20260919T092835Z_add_tickers_ee8409c8d2c8_production_502177be/canonical.db,canonical.db,fundamentals_admin_production/20260919T092835Z_add_tickers_ee8409c8d2c8_production_502177be,648839168,0.648839,2026-09-19T09:30:31.626000Z,2026-09-19T09:30:31.626000Z,20260919T092835Z,Fundamentals Administration production rollback,fundamentals_v4 canonical,Add Tickers production,active Fundamentals V4 Administration,full SQLite database copy,REDUNDANT_ROLLBACK,Superseded same-day Administration rollback; a newer complete verified set is retained.,backups/fundamentals_admin_production/20260919T113359Z_add_tickers_8bbcda32e218_production_38f7bfac,DELETE_CANDIDATE,MEDIUM
backups/fundamentals_admin_production/20260919T092835Z_add_tickers_ee8409c8d2c8_production_502177be/provider.db,provider.db,fundamentals_admin_production/20260919T092835Z_add_tickers_ee8409c8d2c8_production_502177be,941559808,0.941560,2026-09-19T09:30:23.888473Z,2026-09-19T09:30:23.888473Z,20260919T092835Z,Fundamentals Administration production rollback,fundamentals_provider,Add Tickers production,active Fundamentals V4 Administration,full SQLite database copy,REDUNDANT_ROLLBACK,Superseded same-day Administration rollback; a newer complete verified set is retained.,backups/fundamentals_admin_production/20260919T113359Z_add_tickers_8bbcda32e218_production_38f7bfac,DELETE_CANDIDATE,MEDIUM
backups/fundamentals_analysis.phase10c.20260907T204916Z.db,fundamentals_analysis.phase10c.20260907T204916Z.db,.,1043939328,1.043939,2026-09-07T20:51:10.666020Z,2026-09-07T20:51:10.666020Z,20260907T204916Z,Phase 10C analysis transition,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_analysis.phase10c.20260907T205510Z.db,fundamentals_analysis.phase10c.20260907T205510Z.db,.,1146810368,1.146810,2026-09-07T20:57:04.504014Z,2026-09-07T20:57:04.504014Z,20260907T205510Z,Phase 10C analysis transition,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_analysis.phase10c.20260907T205955Z.db,fundamentals_analysis.phase10c.20260907T205955Z.db,.,1146810368,1.146810,2026-09-07T21:01:49.619268Z,2026-09-07T21:01:49.619268Z,20260907T205955Z,Phase 10C analysis transition,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_analysis.phase11d.20260908T171358Z.db,fundamentals_analysis.phase11d.20260908T171358Z.db,.,1146810368,1.146810,2026-09-08T17:13:59.277181Z,2026-09-08T17:13:59.277181Z,20260908T171358Z,Phase 11D relative valuation publication,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_analysis.phase11d.20260908T190000Z.db,fundamentals_analysis.phase11d.20260908T190000Z.db,.,1146810368,1.146810,2026-09-08T17:04:18.935888Z,2026-09-08T17:04:18.935888Z,20260908T190000Z,Phase 11D relative valuation publication,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_analysis.phase2d.20260901T122332Z.db,fundamentals_analysis.phase2d.20260901T122332Z.db,.,201879552,0.201880,2026-09-01T12:23:51.463858Z,2026-09-01T12:23:51.463858Z,20260901T122332Z,Phase 2D analysis prototype,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_analysis.phase3d.20260901T160342Z.db,fundamentals_analysis.phase3d.20260901T160342Z.db,.,253874176,0.253874,2026-09-01T16:05:55.853000Z,2026-09-01T16:05:55.853000Z,20260901T160342Z,Phase 3D V4 transition,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_analysis.phase9e.20260906T193735Z.db,fundamentals_analysis.phase9e.20260906T193735Z.db,.,476631040,0.476631,2026-09-06T19:39:13.854574Z,2026-09-06T19:39:13.854574Z,20260906T193735Z,Phase 9E analysis transition,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_analysis.phase9e.20260906T194347Z.db,fundamentals_analysis.phase9e.20260906T194347Z.db,.,952266752,0.952267,2026-09-06T19:45:27.361621Z,2026-09-06T19:45:27.361621Z,20260906T194347Z,Phase 9E analysis transition,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_analysis.phase9e.20260907T102623Z.db,fundamentals_analysis.phase9e.20260907T102623Z.db,.,952270848,0.952271,2026-09-07T10:28:01.191350Z,2026-09-07T10:28:01.191350Z,20260907T102623Z,Phase 9E analysis transition,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_analysis.phase9e.20260907T103432Z.db,fundamentals_analysis.phase9e.20260907T103432Z.db,.,1043939328,1.043939,2026-09-07T10:36:12.385447Z,2026-09-07T10:36:12.385447Z,20260907T103432Z,Phase 9E analysis transition,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_analysis_pre_delta_phase5d_20260902T100827Z.db,fundamentals_analysis_pre_delta_phase5d_20260902T100827Z.db,.,322220032,0.322220,2026-09-02T10:08:40.870062Z,2026-09-02T10:08:40.870062Z,20260902T100827Z,Phase 5D pre-delta analysis,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_provider.phase12c.20260910T133756Z.db,fundamentals_provider.phase12c.20260910T133756Z.db,.,551792640,0.551793,2026-09-10T13:37:58.116494Z,2026-09-10T13:37:58.116494Z,20260910T133756Z,Phase 12C provider backfill,fundamentals_provider,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_v4.phase3d.20260901T160342Z.db,fundamentals_v4.phase3d.20260901T160342Z.db,.,269901824,0.269902,2026-09-01T16:05:50.524638Z,2026-09-01T16:05:50.524638Z,20260901T160342Z,Phase 3D V4 transition,fundamentals_v4 canonical,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_v4_diagnostic_flags_phase6d_20260905T190500Z/fundamentals_analysis_before_phase6d.db,fundamentals_analysis_before_phase6d.db,fundamentals_v4_diagnostic_flags_phase6d_20260905T190500Z,390258688,0.390259,2026-09-05T19:18:02.602287Z,2026-09-05T19:18:02.602287Z,20260905T190500Z,Phase 6D diagnostic flags transition,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_v4_diagnostic_flags_phase6d_20260905T190500Z/fundamentals_provider_before_phase6d.db,fundamentals_provider_before_phase6d.db,fundamentals_v4_diagnostic_flags_phase6d_20260905T190500Z,546754560,0.546755,2026-09-05T19:18:00.779048Z,2026-09-05T19:18:00.779048Z,20260905T190500Z,Phase 6D diagnostic flags transition,fundamentals_provider,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_v4_diagnostic_flags_phase6d_20260905T190500Z/fundamentals_v4_before_phase6d.db,fundamentals_v4_before_phase6d.db,fundamentals_v4_diagnostic_flags_phase6d_20260905T190500Z,288563200,0.288563,2026-09-05T19:18:01.819344Z,2026-09-05T19:18:01.819344Z,20260905T190500Z,Phase 6D diagnostic flags transition,fundamentals_v4 canonical,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_v4_phase12e_20260911T134001Z/fundamentals_analysis.before_phase12e.db,fundamentals_analysis.before_phase12e.db,fundamentals_v4_phase12e_20260911T134001Z,1152614400,1.152614,2026-09-11T13:40:03.473688Z,2026-09-11T13:40:03.473688Z,20260911T134001Z,Phase 12E pre-migration,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_v4_phase12e_20260911T134001Z/fundamentals_v4.before_phase12e.db,fundamentals_v4.before_phase12e.db,fundamentals_v4_phase12e_20260911T134001Z,372228096,0.372228,2026-09-11T13:40:01.637021Z,2026-09-11T13:40:01.637021Z,20260911T134001Z,Phase 12E pre-migration,fundamentals_v4 canonical,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_v4_phase12e_20260911T135700Z/fundamentals_analysis.before_phase12e.db,fundamentals_analysis.before_phase12e.db,fundamentals_v4_phase12e_20260911T135700Z,1152614400,1.152614,2026-09-11T13:57:02.462203Z,2026-09-11T13:57:02.462203Z,20260911T135700Z,Phase 12E pre-migration,fundamentals_analysis,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
backups/fundamentals_v4_phase12e_20260911T135700Z/fundamentals_v4.before_phase12e.db,fundamentals_v4.before_phase12e.db,fundamentals_v4_phase12e_20260911T135700Z,372228096,0.372228,2026-09-11T13:57:00.622239Z,2026-09-11T13:57:00.622239Z,20260911T135700Z,Phase 12E pre-migration,fundamentals_v4 canonical,phase/migration safety backup,historical Fundamentals phase,full SQLite database copy,LEGACY_ARCHITECTURE,Historical pre-current-phase safety copy; active V4 restore code does not target this path and later milestones are retained.,backups/fundamentals_v4_phase13c_20260911T164256Z or a later retained milestone,DELETE_CANDIDATE,HIGH
