audit_population,ticker,dimension,source_identity,fiscal_year,fiscal_quarter,reportperiod,source_date,old_position,old_history_count,current_history_count,prefix_position,prefix_length,older_rows_remaining,newer_rows_remaining,old_min,current_min,current_max,age_days,age_years,boundary_fiscal_quarter_span,companion_status,fiscal_calendar_note,phase13g3_9_classification,phase13g3_10_classification,classification_reason
AGED_96,ABAT,MRQ,ABAT|MRQ|2016-06-30|2016-06-30,2016,Q3,2016-06-30,2016-06-30,1,40,40,1,1,0,39,2016-06-30,2016-09-30,2026-06-30,3652,9.998836,42,NONE,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,ABM,ARQ,ABM|ARQ|2016-09-08|2016-07-31,2016,Q3,2016-07-31,2016-09-08,1,41,40,1,1,0,40,2016-07-31,2016-10-31,2026-07-31,3652,9.998836,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,ABM,MRQ,ABM|MRQ|2016-07-31|2016-07-31,2016,Q3,2016-07-31,2016-07-31,1,41,40,1,1,0,40,2016-07-31,2016-10-31,2026-07-31,3652,9.998836,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,AEO,ARQ,AEO|ARQ|2016-08-24|2016-07-30,2017,Q2,2016-07-30,2016-08-24,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,AEO,MRQ,AEO|MRQ|2016-07-30|2016-07-30,2017,Q2,2016-07-30,2016-07-30,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,AVAV,ARQ,AVAV|ARQ|2016-08-31|2016-07-30,2017,Q1,2016-07-30,2016-08-31,1,41,41,1,1,0,40,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,AVAV,MRQ,AVAV|MRQ|2016-07-30|2016-07-30,2017,Q1,2016-07-30,2016-07-30,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,AVGO,ARQ,AVGO|ARQ|2016-09-08|2016-07-31,2016,Q3,2016-07-31,2016-09-08,1,40,40,1,1,0,39,2016-07-31,2016-10-30,2026-08-02,3654,10.004312,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,AVGO,MRQ,AVGO|MRQ|2016-07-31|2016-07-31,2016,Q3,2016-07-31,2016-07-31,1,40,40,1,1,0,39,2016-07-31,2016-10-30,2026-08-02,3654,10.004312,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,BBW,ARQ,BBW|ARQ|2016-08-11|2016-07-02,2016,Q2,2016-07-02,2016-08-11,1,40,40,1,1,0,39,2016-07-02,2016-10-01,2026-08-01,3682,10.080974,45,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,BBW,MRQ,BBW|MRQ|2016-07-02|2016-07-02,2016,Q2,2016-07-02,2016-07-02,1,40,40,1,1,0,39,2016-07-02,2016-10-01,2026-08-01,3682,10.080974,45,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,BKE,ARQ,BKE|ARQ|2016-09-08|2016-07-30,2017,Q2,2016-07-30,2016-09-08,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,BKE,MRQ,BKE|MRQ|2016-07-30|2016-07-30,2017,Q2,2016-07-30,2016-07-30,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
TRUE_REMOVAL_CONTROL,BNC,MRQ,BNC|MRQ|2024-06-30|2024-06-30,2024,Q2,2024-06-30,2024-06-30,31,38,39,0,0,30,5,2016-12-31,2016-12-31,2026-07-31,761,2.083547,12,NONE,weekday-based Sunday fiscal calendar,TRUE_SOURCE_REMOVAL,TRUE_SOURCE_REMOVAL,interior missing source key
TRUE_REMOVAL_CONTROL,BNC,MRQ,BNC|MRQ|2024-09-30|2024-09-30,2024,Q3,2024-09-30,2024-09-30,32,38,39,0,0,30,5,2016-12-31,2016-12-31,2026-07-31,669,1.83166,11,NONE,source fiscal-quarter boundary,TRUE_SOURCE_REMOVAL,TRUE_SOURCE_REMOVAL,interior missing source key
TRUE_REMOVAL_CONTROL,BNC,MRQ,BNC|MRQ|2024-12-31|2024-12-31,2024,Q4,2024-12-31,2024-12-31,33,38,39,0,0,30,5,2016-12-31,2016-12-31,2026-07-31,577,1.579772,10,NONE,source fiscal-quarter boundary,TRUE_SOURCE_REMOVAL,TRUE_SOURCE_REMOVAL,interior missing source key
AGED_96,BNED,ARQ,BNED|ARQ|2016-09-08|2016-07-30,2017,Q1,2016-07-30,2016-09-08,1,40,39,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,BNED,MRQ,BNED|MRQ|2016-07-30|2016-07-30,2017,Q1,2016-07-30,2016-07-30,1,41,40,1,1,0,40,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,CAL,ARQ,CAL|ARQ|2016-09-07|2016-07-30,2017,Q2,2016-07-30,2016-09-07,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,CAL,MRQ,CAL|MRQ|2016-07-30|2016-07-30,2017,Q2,2016-07-30,2016-07-30,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,CASY,ARQ,CASY|ARQ|2016-09-06|2016-07-31,2017,Q1,2016-07-31,2016-09-06,1,41,40,1,1,0,40,2016-07-31,2016-10-31,2026-07-31,3652,9.998836,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,CASY,MRQ,CASY|MRQ|2016-07-31|2016-07-31,2017,Q1,2016-07-31,2016-07-31,1,41,40,1,1,0,40,2016-07-31,2016-10-31,2026-07-31,3652,9.998836,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,COO,ARQ,COO|ARQ|2016-09-02|2016-07-31,2016,Q3,2016-07-31,2016-09-02,1,40,40,1,1,0,39,2016-07-31,2016-10-31,2026-07-31,3652,9.998836,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,COO,MRQ,COO|MRQ|2016-07-31|2016-07-31,2016,Q3,2016-07-31,2016-07-31,1,40,40,1,1,0,39,2016-07-31,2016-10-31,2026-07-31,3652,9.998836,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,CRMT,ARQ,CRMT|ARQ|2016-09-06|2016-07-31,2017,Q1,2016-07-31,2016-09-06,1,40,40,1,1,0,39,2016-07-31,2016-10-31,2026-07-31,3652,9.998836,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,CRMT,MRQ,CRMT|MRQ|2016-07-31|2016-07-31,2017,Q1,2016-07-31,2016-07-31,1,40,40,1,1,0,39,2016-07-31,2016-10-31,2026-07-31,3652,9.998836,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,DBI,ARQ,DBI|ARQ|2016-09-01|2016-07-30,2017,Q2,2016-07-30,2016-09-01,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,DBI,MRQ,DBI|MRQ|2016-07-30|2016-07-30,2017,Q2,2016-07-30,2016-07-30,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,DDS,ARQ,DDS|ARQ|2016-09-01|2016-07-30,2017,Q2,2016-07-30,2016-09-01,1,41,40,1,1,0,40,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,DDS,MRQ,DDS|MRQ|2016-07-30|2016-07-30,2017,Q2,2016-07-30,2016-07-30,1,41,40,1,1,0,40,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,DELL,ARQ,DELL|ARQ|2016-09-06|2016-07-29,2017,Q2,2016-07-29,2016-09-06,1,41,40,1,1,0,40,2016-07-29,2016-10-28,2026-07-31,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,DELL,MRQ,DELL|MRQ|2016-07-29|2016-07-29,2017,Q2,2016-07-29,2016-07-29,1,41,40,1,1,0,40,2016-07-29,2016-10-28,2026-07-31,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,DLTH,ARQ,DLTH|ARQ|2016-09-09|2016-07-31,2017,Q2,2016-07-31,2016-09-09,1,41,40,1,1,0,40,2016-07-31,2016-10-30,2026-08-02,3654,10.004312,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,DLTH,MRQ,DLTH|MRQ|2016-07-31|2016-07-31,2017,Q2,2016-07-31,2016-07-31,1,41,40,1,1,0,40,2016-07-31,2016-10-30,2026-08-02,3654,10.004312,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,DXLG,ARQ,DXLG|ARQ|2016-08-25|2016-07-30,2017,Q2,2016-07-30,2016-08-25,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,DXLG,MRQ,DXLG|MRQ|2016-07-30|2016-07-30,2017,Q2,2016-07-30,2016-07-30,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,FEIM,ARQ,FEIM|ARQ|2016-07-29|2016-04-30,2016,Q4,2016-04-30,2016-07-29,1,41,40,1,2,0,39,2016-04-30,2016-10-31,2026-07-31,3744,10.250724,42,NONE,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
