ticker,dimension,source_identity,fiscal_year,fiscal_quarter,reportperiod,source_date,lastupdated,prior_semantic_fingerprint,old_history_row_count,new_history_row_count,removed_position,was_oldest,was_newest,older_rows_remaining,newer_rows_remaining,prior_min_reportperiod,current_min_reportperiod,current_max_reportperiod,canonical_quarter_exists,canonical_stable_quarter_identity,first_public_result_date,source_availability_date,paired_arq_mrq_removal,preliminary_classification,classification_reason
ABM,ARQ,ABM|ARQ|2016-09-08|2016-07-31,2016,Q3,2016-07-31,2016-09-08,2026-06-05,337132c8023d5897e7a30343b6edf5cf4d798a0f474c70d86b418a9d2bba0dc3,41,40,oldest,TRUE,FALSE,0,40,2016-07-31,2016-10-31,2026-07-31,TRUE,14|2016|Q3,2016-09-08,2016-09-08,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest ARQ row; paired oldest MRQ row; current history advances one quarter at the approximately ten-year boundary
ABM,MRQ,ABM|MRQ|2016-07-31|2016-07-31,2016,Q3,2016-07-31,2016-07-31,2026-06-05,a6ab2f30012d4c508fc0d8d05a9ffc5a42f6c3087e06b41eed40c230adcee43e,41,40,oldest,TRUE,FALSE,0,40,2016-07-31,2016-10-31,2026-07-31,TRUE,14|2016|Q3,2016-09-08,2016-09-08,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest MRQ row paired with oldest ARQ row
BNED,ARQ,BNED|ARQ|2016-09-08|2016-07-30,2017,Q1,2016-07-30,2016-09-08,2026-07-11,c968e531b35dfd266e482026a5cb8abbd80017de299f195c104bba5d394966fc,40,39,oldest,TRUE,FALSE,0,39,2016-07-30,2016-10-29,2026-08-01,TRUE,347|2017|Q1,2016-09-08,2016-09-08,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest ARQ row; paired oldest MRQ row; current history advances one quarter at the approximately ten-year boundary
BNED,MRQ,BNED|MRQ|2016-07-30|2016-07-30,2017,Q1,2016-07-30,2016-07-30,2026-07-11,5f0c40e1bd504f147d04f032e6b4c52d65e7eaaad675a9fdef35a47d7d47fb40,41,40,oldest,TRUE,FALSE,0,40,2016-07-30,2016-10-29,2026-08-01,TRUE,347|2017|Q1,2016-09-08,2016-09-08,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest MRQ row paired with oldest ARQ row
CASY,ARQ,CASY|ARQ|2016-09-06|2016-07-31,2017,Q1,2016-07-31,2016-09-06,2026-06-22,a0ee39600aa0187a77fbf6adfc09d4b6c5c10bc253d3ab62473e8a7d97b20774,41,40,oldest,TRUE,FALSE,0,40,2016-07-31,2016-10-31,2026-07-31,TRUE,407|2017|Q1,2016-09-06,2016-09-06,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest ARQ row; paired oldest MRQ row; current history advances one quarter at the approximately ten-year boundary
CASY,MRQ,CASY|MRQ|2016-07-31|2016-07-31,2017,Q1,2016-07-31,2016-07-31,2026-06-22,4fc36bf597da0979d1ef837657c279b2a84134f4ca3fc854ba942fe05c831c8f,41,40,oldest,TRUE,FALSE,0,40,2016-07-31,2016-10-31,2026-07-31,TRUE,407|2017|Q1,2016-09-06,2016-09-06,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest MRQ row paired with oldest ARQ row
DDS,ARQ,DDS|ARQ|2016-09-01|2016-07-30,2017,Q2,2016-07-30,2016-09-01,2026-06-05,241c14f945a15b4524a90c747df52576414c3fd58027eddb57307001916314c3,41,40,oldest,TRUE,FALSE,0,40,2016-07-30,2016-10-29,2026-08-01,TRUE,653|2017|Q2,2016-09-01,2016-09-01,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest ARQ row; paired oldest MRQ row; current history advances one quarter at the approximately ten-year boundary
DDS,MRQ,DDS|MRQ|2016-07-30|2016-07-30,2017,Q2,2016-07-30,2016-07-30,2026-06-05,124a70a425613d9d62c5881d00836eac7d7487cce2d1af2bfb5d76db7b002145,41,40,oldest,TRUE,FALSE,0,40,2016-07-30,2016-10-29,2026-08-01,TRUE,653|2017|Q2,2016-09-01,2016-09-01,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest MRQ row paired with oldest ARQ row
DELL,ARQ,DELL|ARQ|2016-09-06|2016-07-29,2017,Q2,2016-07-29,2016-09-06,2026-06-09,eee58a7c05e5d4e4843793084b677e36eb3f3ec1e8b5ca486018599bb73f1e59,41,40,oldest,TRUE,FALSE,0,40,2016-07-29,2016-10-28,2026-07-31,TRUE,659|2017|Q2,2016-09-06,2016-09-06,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest ARQ row; paired oldest MRQ row; current history advances one quarter at the approximately ten-year boundary
DELL,MRQ,DELL|MRQ|2016-07-29|2016-07-29,2017,Q2,2016-07-29,2016-07-29,2026-06-09,291244391d466671b899edcff7f8e46e07c0665fc55049703a2364ec3d4504d2,41,40,oldest,TRUE,FALSE,0,40,2016-07-29,2016-10-28,2026-07-31,TRUE,659|2017|Q2,2016-09-06,2016-09-06,TRUE,AGED_OUT_OF_SOURCE_WINDOW,Oldest MRQ row paired with oldest ARQ row
